,title_ru,title_eng,year,genre,duration,country,director,quote,main_actors,rating_KinoPoisk,rating_IMDB,description
102,Шерлок Холмс: Игра теней,Sherlock Holmes: A Game of Shadows,2011,"боевик, приключения, триллер, криминал, детектив",128 мин.,"США, Великобритания",Гай Ричи,-,"Роберт Дауни мл., Джуд Лоу, Нуми Рапас, Джаред Харрис, Пол Андерсон",8.064,7.4,"1891 год. В Вене и Страсбурге проходит серия терактов, организованных анархистами или националистами, а по всей Европе происходят таинственные убийства. Шерлок Холмс считает, что за всем этим стоит профессор Джеймс Мориарти - математический гений, автор знаменитых лекций и трудов...."
103,300 спартанцев,300,2007,"боевик, драма",117 мин.,"США, Канада, Болгария, Австралия",Зак Снайдер,«Обрети славу!»,"Джерард Батлер, Майкл Фассбендер, Винсент Риган, Дэвид Уэнэм, Лина Хиди",6.567,7.6,"Рассказ о кровопролитной битве при Фермопилах в 480 году до н. э., в которой триста отважных спартанцев во главе с царем Леонидом преградили путь многотысячной армии персидского царя Ксеркса...."
104,Пока не сыграл в ящик,The Bucket List,2007,"драма, комедия, приключения",97 мин.,США,Роб Райнер,«Оторвись напоследок»,"Джек Николсон, Морган Фриман, Шон Хейс, Беверли Тодд, Роб Морроу",8.047,7.4,"Именно так решили два больных раком соседа по больничной палате, когда услышали свой приговор. Один из них вспыльчивый миллиардер, а второй эрудированный автомеханик. Они составляют список дел, которые необходимо сделать прежде, чем они сыграют в ящик, и отправляются в кругосветное путешествие, путешествие всей своей жизни. Прыжки с парашютом? Посмотрим. Гонки на раритетных автомобилях? Сделано. Посмотреть на пирамиды? Отлично. Открыть радость жизни прежде, чем станет слишком поздно? Точно!..."
105,Одаренная,Gifted,2017,драма,101 мин.,США,Марк Уэбб,«How do you create an ordinary life for an extraordinary girl»,"Крис Эванс, Маккенна Грейс, Линдси Дункан, Октавия Спенсер, Дженни Слейт",7.899,7.6,"Фрэнк Адлер живет в прибрежном городке во Флориде и воспитывает в одиночку свою необычайно одаренную племянницу Мэри. Но планы парня о спокойной школьной жизни для девочки рушатся, когда о математических способностях ребенка узнает грозная мать Фрэнка Эвелин. У бабушки свои представления о будущем внучки, и ради этого она готова даже разлучить Мэри с Фрэнком...."
106,Жизнь Дэвида Гейла,The Life of David Gale,2002,"триллер, драма, криминал",130 мин.,"Великобритания, Германия, Испания, США",Алан Паркер,"«Солгать всегда проще, чем сказать правду»","Кевин Спейси, Кейт Уинслет, Лора Линни, Гэбриел Манн, Мэтт Крэйвен",8.063,7.5,"Дэвид Гейл - человек, который пробовал жить в соответствии со своими принципами, но, в причудливом повороте судьбы, этот преданный отец, популярный профессор и ярый противник смертной казни окажется в камере смертников за убийство активистки Констанции Харравей. За три дня до исполнения приговора Гейл соглашается дать интервью репортеру Битси Блум.Но журналистка вскоре понимает, что ее участие в этом деле не ограничится одним интервью и что жизнь человека находится в ее руках. Поставив на кон свою собственную безопасность, она начинает расследовать те ужасные события, которые окружали смерть Констанции...."
107,Расплата,The Accountant,2016,"боевик, триллер, драма, криминал",128 мин.,США,Гэвин О'Коннор,«Просчитай свои шансы»,"Бен Аффлек, Анна Кендрик, Дж.К. Симмонс, Джон Бернтал, Джеффри Тэмбор",7.432,7.3,"Лента расскажет историю математического гения Кристиана Вульфа, который подрабатывает аудитором для самых опасных преступных организаций. Когда ему на хвост садится отдел по борьбе с преступностью Министерства финансов во главе с Рэем Кингом, Кристиан решает найти себе законопослушного клиента и проводит аудит в компании по производству новейшей робототехники, где сотрудница финансового отдела обнаружила «нестыковочку» в миллионы долларов. Но стоит Кристиану взяться за счета и выйти на след, как в деле начинают появляться жертвы...."
108,РЭД,RED,2010,"боевик, триллер, комедия, криминал",111 мин.,"США, Китай",Роберт Швентке,«Бывших агентов не бывает»,"Брюс Уиллис, Джон Малкович, Морган Фриман, Хелен Миррен, Мэри-Луиз Паркер",6.811,7,"Фрэнк Мозес, экс-агент супергруппы ЦРУ, живет теперь мирной и тихой жизнью. Но прошлое настигает его: как-то утром загадочный киллер пытается лишить его жизни. Опытный Фрэнк, конечно, сумел увернуться от пули, но сразу понял, что дело «табак». Кто же поможет справиться с командой ликвидаторов? Конечно, бывшие напарники: харизматичный Джо Мэтисон и параноик Марвин Боггс. Прекрасный повод тряхнуть стариной!..."
109,Другой мир,Underworld,2003,"фэнтези, боевик, триллер",133 мин.,"США, Великобритания, Германия, Венгрия",Лен Уайзман,«Во время финальной битвы вампиров и оборотней на чьей стороне будете Вы?»,"Кейт Бекинсейл, Скотт Спидман, Майкл Шин, Шэйн Бролли, Билл Найи",7.006,7,"Столетиями властители царства мрака, вампиры и оборотни ведут беспощадную войну, невидимую человеческому взору. Бесстрашная Селина, воин-вампир, каждую ночь истребляет оборотней, влекомая неутолимой жаждой мести. Ее клан уверен, что вампирам удалось одержать верх над заклятыми врагами, но Селина подозревает, что у оборотней есть тайный план, сулящий гибель ее роду. В центре этого плана – смертный парень Майкл. Его генетический код – ключ к созданию сверхсущества, которое будет бессмертно и неуязвимо. Теперь Селина должна любой ценой первой добраться до него, чтобы определить исход вечного противостояния двух могущественных рас, которых люди до сих пор считали мифом......"
110,Нокдаун,Cinderella Man,2005,"драма, мелодрама, биография, история, спорт",144 мин.,США,Рон Ховард,«Самый знаменитый боксер Америки»,"Рассел Кроу, Рене Зеллвегер, Пол Джаматти, Крэйг Бирко, Пэдди Консидайн",8.199,8,"Потерпев несколько поражений кряду, подававший надежды боксёр-тяжеловес Джим Брэддок вынужден бросить спорт. Во времена Великой депрессии Брэддок берётся за любую работу, чтобы прокормить свою жену Мэй и детей. При этом он всё ещё надеется вернуться на ринг. И однажды ему предоставляется такой шанс. В последнюю минуту Джим заменяет другого боксёра и выходит на поединок с претендентом на титул чемпиона мира......"
111,Плохие парни,Bad Boys,1995,"боевик, комедия, триллер, криминал",119 мин.,США,Майкл Бэй,«Лучшие друзья. Отличные полицейские. Преступность обречена»,"Уилл Смит, Мартин Лоуренс, Теа Леони, Чеки Карио, Джо Пантольяно",7.631,6.8,"Они - полная противоположность друг друга. Один из них - примерный семьянин и не имеет состояния, другой богат и пользуется всеми благами холостяцкой жизни. Помимо дружбы их объединяет работа в полиции.Их новое задание - поймать жестокого преступника, укравшего наркотики с секретного склада, а также спасти девушку, которая случайно оказалась на его пути. Но для этого друзьям придется поменяться местами......"
112,Блэйд,Blade,1998,"боевик, ужасы, фэнтези",120 мин.,США,Стивен Норрингтон,«Вампирам не место на Земле»,"Уэсли Снайпс, Стивен Дорфф, Крис Кристофферсон, Н'Буш Райт, Донал Лог",6.844,7.1,"Получеловек-полувампир Блэйд намерен уничтожить виновника своей судьбы - Дьякона Фроста. Когда-то в кровь Блэйда попало совсем немного вампирского яда, но с течением времени он стал ощущать неизбежность своего превращения.Желая избавить людей от тайной и могущественной армии вампиров, заполонившей общество, он отправляется на решающий бой......"
113,Мстители: Финал,Avengers: Endgame,2019,"фантастика, боевик, драма, приключения",181 мин.,США,"Энтони Руссо, Джо Руссо",«Avenge the fallen»,"Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт, Скарлетт Йоханссон",7.881,8.4,"Оставшиеся в живых члены команды Мстителей и их союзники должны разработать новый план, который поможет противостоять разрушительным действиям могущественного титана Таноса. После наиболее масштабной и трагической битвы в истории они не могут допустить ошибку...."
114,Стражи Галактики,Guardians of the Galaxy,2014,"фантастика, боевик, приключения, комедия",121 мин.,США,Джеймс Ганн,"«Мстители спасают лишь Землю бренную, а эти ребята спасают Вселенную»","Крис Пратт, Зои Салдана, Дэйв Батиста, Брэдли Купер, Вин Дизель",7.697,8,"Отважному путешественнику Питеру Квиллу попадает в руки таинственный артефакт, принадлежащий могущественному и безжалостному злодею Ронану, строящему коварные планы по захвату Вселенной. Питер оказывается в центре межгалактической охоты, где жертва - он сам.Единственный способ спасти свою жизнь - объединиться с четверкой нелюдимых изгоев: воинственным енотом по кличке Ракета, человекоподобным деревом Грутом, смертельно опасной Гаморой и одержимым жаждой мести Драксом, также известным как Разрушитель. Когда Квилл понимает, какой силой обладает украденный артефакт и какую опасность он представляет для вселенной, одиночка пойдет на все, чтобы сплотить случайных союзников для решающей битвы за судьбу галактики...."
115,Дюна,Dune: Part One,2021,"фантастика, боевик, драма, приключения",155 мин.,"США, Канада, Венгрия",Дени Вильнёв,«Час настал»,"Тимоти Шаламе, Ребекка Фергюсон, Оскар Айзек, Джош Бролин, Джейсон Момоа",7.664,8,"Наследник знаменитого дома Атрейдесов Пол отправляется вместе с семьей на одну из самых опасных планет во Вселенной - Арракис. Здесь нет ничего, кроме песка, палящего солнца, гигантских чудовищ и основной причины межгалактических конфликтов - невероятно ценного ресурса, который называется меланж. В результате захвата власти Пол вынужден бежать и скрываться, и это становится началом его эпического путешествия. Враждебный мир Арракиса приготовил для него множество тяжелых испытаний, но только тот, кто готов взглянуть в глаза своему страху, достоин стать избранным...."
116,Шерлок Холмс,Sherlock Holmes,2009,"боевик, приключения, триллер, драма, комедия, криминал, детектив",128 мин.,"США, Германия, Великобритания, Австралия",Гай Ричи,«От них не скроешься»,"Роберт Дауни мл., Джуд Лоу, Рэйчел МакАдамс, Марк Стронг, Эдди Марсан",7.851,7.6,"Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку, требующую нешуточной физической и умственной подготовки, ведь их враг представляет угрозу для всего Лондона...."
117,Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,"фэнтези, приключения, семейный",142 мин.,"Великобритания, США",Альфонсо Куарон,«Всё изменится»,"Дэниэл Рэдклифф, Руперт Гринт, Эмма Уотсон, Дэвид Тьюлис, Робби Колтрейн",8.236,7.9,"В третьей части истории о юном волшебнике полюбившиеся всем герои - Гарри Поттер, Рон и Гермиона - возвращаются уже на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника, сбежавшего из зловещей тюрьмы Азкабан, чье пребывание на воле создает для Гарри смертельную опасность......"
118,Джокер,Joker,2019,"драма, криминал, триллер",122 мин.,"США, Канада",Тодд Филлипс,«Сделай счастливое лицо»,"Хоакин Феникс, Роберт Де Ниро, Зази Битц, Фрэнсис Конрой, Бретт Каллен",7.976,8.4,"Готэм, начало 1980-х годов. Комик Артур Флек живет с больной матерью, которая с детства учит его «ходить с улыбкой». Пытаясь нести в мир хорошее и дарить людям радость, Артур сталкивается с человеческой жестокостью и постепенно приходит к выводу, что этот мир получит от него не добрую улыбку, а ухмылку злодея Джокера...."
119,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,"комедия, приключения, детектив, криминал",100 мин.,"США, Германия",Уэс Андерсон,-,"Рэйф Файнс, Тони Револори, Сирша Ронан, Эдриан Броуди, Уиллем Дефо",7.913,8.1,"Фильм рассказывает об увлекательных приключениях легендарного консьержа Густава и его юного друга, портье Зеро Мустафы. Сотрудники гостиницы становятся свидетелями кражи и поисков бесценных картин эпохи Возрождения, борьбы за огромное состояние богатой семьи и… драматических изменений в Европе между двумя кровопролитными войнами XX века...."
120,Паразиты,Gisaengchung,2019,"драма, триллер, комедия",131 мин.,Корея Южная,Пон Джун-хо,«Найди злоумышленника»,"Сон Кан-хо, Ли Сон-гюн, Чо Ё-джон, Чхве У-щик, Пак Со-дам",8.024,8.5,"Обычное корейское семейство Кимов жизнь не балует. Приходится жить в сыром грязном полуподвале, воровать интернет у соседей и перебиваться случайными подработками. Однажды друг сына семейства, уезжая на стажировку за границу, предлагает тому заменить его и поработать репетитором у старшеклассницы в богатой семье Пак. Подделав диплом о высшем образовании, парень отправляется в шикарный дизайнерский особняк и производит на хозяйку дома хорошее впечатление. Тут же ему в голову приходит необычный план по трудоустройству сестры...."
121,Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,2012,"фэнтези, приключения, боевик",169 мин.,"Новая Зеландия, США",Питер Джексон,«From the smallest beginnings come the greatest legends»,"Мартин Фриман, Иэн Маккеллен, Ричард Армитедж, Джеймс Несбитт, Кен Стотт",8.595,7.8,"Хоббит Бильбо Бэггинс пускается в грандиозный поход, целью которого является отвоевание утраченного королевства гномов Эребор у дракона Смауга. Совершенно неожиданно с хоббитом налаживает контакт волшебник Гэндальф Серый. Так Бильбо находит себя и присоединяется к компании тринадцати гномов, возглавляемых легендарным воином Торином Дубощитом. Их путешествие пройдёт через Дикий Край, предательские земли, населенные гоблинами и орками, смертоносными варгами, гигантскими пауками, меняющим шкуры народом и волшебниками.И хотя их цель находится на Востоке, среди пустошей Одинокой Горы, сначала им придется выбраться из туннелей гоблинов, где Бильбо встретит существо, которое изменит его жизнь навсегда - Голлума...."
122,Дурак,-,2014,драма,116 мин.,Россия,Юрий Быков,«Успеет ли он спасти всех»,"Артём Быстров, Наталья Суркова, Юрий Цурило, Борис Невзоров, Кирилл Полухин",8.077,8,"Жизни 800 человек общежития висят буквально на волоске из-за безразличия местных властей. В любую секунду здание может рухнуть. И кто бы мог подумать, что судьбы людей окажутся в руках простого сантехника. Но удастся ли ему что-то изменить и предотвратить катастрофу?..."
123,В погоне за счастьем,The Pursuit of Happyness,2006,"драма, биография",117 мин.,США,Габриэле Муччино,"«Никому не позволяй говорить, будто ты чего-то не можешь... У тебя есть мечта - защищай её»","Уилл Смит, Джейден Смит, Тандиве Ньютон, Брайан Хау, Джеймс Карен",8.252,8,"Крис Гарднер – отец-одиночка. Воспитывая пятилетнего сына, Крис изо всех сил старается сделать так, чтобы ребенок рос счастливым. Работая продавцом, он не может оплатить квартиру, и их выселяют.Оказавшись на улице, но не желая сдаваться, отец устраивается стажером в брокерскую компанию, рассчитывая получить должность специалиста. Только на протяжении стажировки он не будет получать никаких денег, а стажировка длится 6 месяцев......"
124,Движение вверх,-,2017,"спорт, драма",133 мин.,Россия,Антон Мегердичев,-,"Владимир Машков, Андрей Смоляков, Иван Колесников, Кирилл Зайцев, Джон Сэвэдж",7.47,6.7,"Есть победы, которые меняют ход истории. Победы духа, победы страны, победы всего мира. Таким триумфом стали легендарные «три секунды» - выигрыш сборной СССР по баскетболу на роковой мюнхенской Олимпиаде 1972 г. Впервые за 36 лет была повержена «непобедимая» команда США. Никто даже помыслить не мог о том, что это возможно – обыграть великолепных непогрешимых американцев на Олимпийских играх! Никто, кроме советских баскетболистов (русских и грузин, украинцев и казахов, белорусов и литовцев).Когда проигрыш означал поражение страны, когда нужно было выходить и бороться в раскаленной обстановке из-за произошедшего теракта, великий тренер сборной СССР был готов на все, лишь бы помочь своим подопечным разбить американский миф о непотопляемой команде мечты. Ведь он знал, что создал самую сильную сборную на планете, и в начале заставил поверить в это своих игроков, а затем весь мир...."
125,Человек дождя,Rain Man,1988,драма,133 мин.,США,Барри Левинсон,«A journey through understanding and fellowship»,"Дастин Хоффман, Том Круз, Валерия Голино, Джералд Р. Молен, Джек Мёрдок",8.24,8,"Грубоватому и эгоистичному молодому человеку Чарли в наследство от отца достались лишь розовые кусты да «Бьюик» 1949 года, а львиная доля наследства уходит его брату-аутисту Раймонду. Задавшись целью отобрать «свою долю», Чарли похищает старшего брата. Но когда выясняет, что Раймонд обладает недюжими математическими способностями, памятью и внимательностью, решает использовать это в корыстных целях...."
126,В джазе только девушки,Some Like It Hot,1959,"мелодрама, комедия, криминал, музыка",119 мин.,США,Билли Уайлдер,«Marilyn Monroe and her bosom companions»,"Мэрилин Монро, Тони Кертис, Джек Леммон, Джордж Рафт, Пэт О'Брайен",8.453,8.2,"Когда чикагские музыканты Джо и Джерри случайно становятся свидетелями бандитской перестрелки, они в срочном порядке смываются на поезде во Флориду, прикинувшись женщинами. Теперь они - Джозефина и Дафна, новенькие и хорошенькие инструменталистки женского джаз-бэнда.До поры до времени их маскировка срабатывает. Но вскоре любвеобильная солистка влюбляется в «переодетого» мужчиной Джозефину, престарелый миллионер подкатывает к Дафне, а босс мафии, разгадав тайну маскарада, решает срочно разделаться со свидетелями...."
127,Грязь,Filth,2013,"криминал, комедия, драма",93 мин.,"Великобритания, Германия, Швеция, Бельгия, США",Джон С. Бейрд,«This Little Piggy went to town!»,"Джеймс МакЭвой, Джейми Белл, Эдди Марсан, Джим Бродбент, Имоджен Путс",7.622,7,"Главный герой - Брюс Робертсон, детектив-сержант сыскной полиции города Эдинбурга, стремящийся получить вакантную должность детектива-инспектора. Начальник Брюса Боб Тоал поручает ему руководство расследованием убийства японского студента в подземном переходе. Кроме Брюса на должность инспектора претендуют также его коллеги по отделу сыскной полиции. Робертсон использует все возможные средства, чтобы устранить соперников, подставляя и унижая их......"
128,Запах женщины,Scent of a Woman,1992,драма,156 мин.,США,Мартин Брест,"«Col. Frank Slade has a very special plan for the weekend. It involves travel, women, good food, fine wine, the tango, chauffeured limousines and a loaded forty-five. And he's bringing Charlie along for the ride»","Аль Пачино, Крис О'Доннелл, Джеймс Ребхорн, Габриель Анвар, Филип Сеймур Хоффман",8.445,8,"Наступил День благодарения, и отставной полковник разведки Фрэнк Слэйд решает справить праздник, побаловав себя поездкой в Нью-Йорк. Фрэнк хочет обставить свой последний «коронный выход» по высшему разряду: изысканный отель, шикарный лимузин, дорогая выпивка и женщины потрясающей красоты.Есть лишь две проблемы. Первая: Фрэнк слеп на оба глаза. И вторая: волнующиеся родственники полковника решают нанять за небольшую сумму провожатого в лице нуждающегося студента престижного колледжа по имени Чарли Симмз. Последнее, что было нужно в поездке полковнику Слэйду - так это «зеленый» юнец Чарли. Но случилось так, что путешествие этих двух потрясающе непохожих друг на друга людей изменило их жизни навсегда...."
129,Невероятная жизнь Уолтера Митти,The Secret Life of Walter Mitty,2013,"комедия, приключения, фэнтези, драма, мелодрама",114 мин.,"США, Великобритания",Бен Стиллер,«Stop Dreaming. Start Living»,"Бен Стиллер, Кристен Уиг, Адам Скотт, Ширли Маклейн, Кэтрин Хан",7.698,7.3,"Уолтер Митти - сотрудник отдела иллюстраций журнала Life. Его работа - сплошная рутина, хотя в своих мечтах он уносится очень далеко. В присланных фотографом Шоном О'Коннелом негативах для обложки журнала не хватает одного кадра. Единственный шанс получить фотографию - найти самого Шона. И Уолтер отправляется в долгое путешествие...."
130,Мумия,The Mummy,1999,"фэнтези, приключения, боевик",124 мин.,"США, Великобритания, Марокко",Стивен Соммерс,«Death is only the beginning»,"Брендан Фрейзер, Рэйчел Вайс, Джон Ханна, Арнольд Вослу, Кевин Дж. О'Коннор",7.429,7.1,"На бескрайних просторах египетской пустыни компания сорвиголов разных национальностей рыщет в поисках несметных сокровищ фараона, над которыми тяготеет жуткое древнее проклятие.Рядом с кладом покоится мумия коварного жреца, жестоко казненного за ужасное убийство могущественного правителя Египта. Золотоискатели потревожили многовековой покой гробницы, и мумия встает из могилы, чтобы погрузить мир в царство кошмара......"
131,Малышка на миллион,Million Dollar Baby,2004,"драма, спорт",132 мин.,США,Клинт Иствуд,"«Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love»","Клинт Иствуд, Хилари Суэнк, Морган Фриман, Джей Барушель, Майк Колтер",8.083,8.1,"Тренеру по боксу Фрэнку Данну так и не удалось воспитать чемпиона. Он владеет спортивным залом в Лос-Анджелесе, где всё ещё проводит тренировки. Дочь не отвечает на его письма, а его лучший боец подписал контракт с другим менеджером. Неожиданно в жизни Фрэнка появляется Мэгги Фицжеральд, 31-летняя официантка, мечтающая стать боксером. Фрэнк не желает тренировать женщину, но упорство Мэгги заставляет его передумать. Впереди - их главное сражение, требующее собрать в кулак всю волю и мужество...."
132,Красота по-американски,American Beauty,1999,драма,122 мин.,США,Сэм Мендес,«...присмотрись»,"Кевин Спейси, Аннетт Бенинг, Тора Бёрч, Уэс Бентли, Мена Сувари",7.98,8.4,"Лестер Бернэм переживает кризис среднего возраста. Его не уважают и не ценят на работе, а от счастливой семьи осталась лишь видимость. У жены Кэролайн страстный роман с коллегой по работе, а угрюмая дочь-подросток Джейн увлечена соседским парнем, побывавшим в психиатрической больнице.Терзаемый душевными муками Лестер впадает в депрессию. Но неожиданно для себя влюбляется в одноклассницу дочери Анджелу, и эта страсть дает Лестеру мощный жизненный импульс. Он ощущает прилив сил и желаний и готов снова радоваться красоте...."
133,Шпион,Spy,2015,"боевик, комедия",119 мин.,США,Пол Фиг,«Одна из пижонов. Одна из шпионов»,"Мелисса Маккарти, Джейсон Стэйтем, Джуд Лоу, Роуз Бирн, Миранда Харт",7.109,7,"Сьюзан Купер всю свою жизнь мечтала стать секретным агентом и даже устроилась работать в ЦРУ. Однако, дальше сотрудника самой низкой ступени ей так и не удалось продвинуться. Понимая, что осуществить свою мечту практически невозможно, она все-таки продолжает надеяться на лучшее и с нетерпением ожидает своего шанса. И вскоре судьба дарит ей такую возможность. Лучший агент проваливает секретное задание, в ходе которого он должен был выяснить местонахождение ядерной бомбы, но, совершенно случайно, застрелил единственного человека, владеющего этой информацией.Через некоторое время службе разведки становится известно, что Рейна Боянова знает, где находится бомба, но она также знает в лицо всех секретных агентов ЦРУ. Теперь у руководства не остается другого выбора, как воспользоваться услугами Сьюзан Купер, но сможет ли она справиться со столь сложной миссией?....."
134,Чужие,Aliens,1986,"ужасы, фантастика, боевик, триллер, приключения",137 мин.,"Великобритания, США",Джеймс Кэмерон,«В некоторых местах Вселенной вы не одиноки...»,"Сигурни Уивер, Майкл Бин, Кэрри Хенн, Пол Райзер, Лэнс Хенриксен",8.065,8.4,"Чужой – совершенный организм. Идеальная машина для убийства, чье физическое превосходство сочетается с его феноменальной жаждой уничтожения. Офицер Элен Рипли и команда космического корабля Ностромо один раз уже встретилась с такой тварью. В живых осталась только Элен.Капсула с Элен найдена спасателями после многих лет блуждания в космосе. Ей сообщают, что планета L.V. 426 колонизирована, и ей придется вернуться туда, где начался ее кошмар, ибо связь с колонистами прервалась. И вот в составе группы космического десанта Рипли отправляется на проклятую планету. Но теперь их там поджидает не один Чужой, а тысячи. Кто сможет выжить в этой войне: чудовища, способные только убивать, или люди, способные мыслить?..."
135,Джуманджи,Jumanji,1995,"фэнтези, комедия, приключения, семейный",104 мин.,США,Джо Джонстон,«Эта игра заставит Вас поверить в чудеса»,"Робин Уильямс, Бонни Хант, Кирстен Данст, Брэдли Пирс, Биби Ньювирт",6.853,7,"Случайно обнаружив настольную игру со странным названием «Джуманджи», Алан Пэрриш на глазах изумленной подружки перенёсся в джунгли. Он находился в этом мире до тех пор, пока двое ни о чем не подозревающих подростков не нашли игру и не сняли волшебные чары, освободив Алана из многолетнего плена. Теперь им предстоит решить нелегкую задачу - пройти немыслимые препятствия и одержать победу над силами магии...."
136,Секс по дружбе,Friends with Benefits,2011,"мелодрама, комедия, драма",109 мин.,США,Уилл Глак,«Friendship is a four-letter word»,"Джастин Тимберлейк, Мила Кунис, Патриша Кларксон, Дженна Элфман, Вуди Харрельсон",7.134,6.5,"Главная героиня – сотрудник кадрового агентства, которую преследуют фобии в отношениях с обязательствами. Однако, эти проблемы оказываются надуманными, после того как она встречает редактора глянцевого журнала. Он, в свою очередь, устал от женщин, которые мечтают вступить с ним в связь. Таким образом, созданы все условия для бурного романа и столкновения характеров и желаний...."
137,Реальные упыри,What We Do in the Shadows,2014,"комедия, ужасы",85 мин.,Новая Зеландия,"Джемейн Клемент, Тайка Вайтити",«Умереть не встать»,"Джемейн Клемент, Тайка Вайтити, Джонатан Бруг, Кори Гонсалес-Макуэр, Стью Рутерфорд",7.449,7.6,"История жизни Виаго, Дикона и Владислава - трёх соседей и по совместительству бессмертных вампиров, которые всего лишь пытаются выжить в современном мире, где есть арендная плата, фейсконтроль в ночных клубах, губительный солнечный свет и другие неприятности...."
138,Чудо,Wonder,2017,"драма, семейный",113 мин.,"США, Гонконг, Канада",Стивен Чбоски,«Are you ready to meet Auggie Pullman?»,"Джейкоб Тремблей, Оуэн Уилсон, Изабела Видович, Джулия Робертс, Марк Доцлав",8.047,7.9,"С одной стороны мальчик Август Пулман такой же как и другие мальчишки его возраста - любит ходить на дни рождения к друзьям, играть в компьютерные игры, фанатеет от «Звездных войн», играет со своей собакой, ссорится и мирится со старшей сестрой. А с другой - он совсем не такой как другие мальчишки его возраста. Во-первых, Август никогда не ходил в обычную школу - с первого класса с ним дома занималась мама. Во-вторых, Август перенес 27 операций. Из-за очень редкой, но иногда встречающейся генетической ошибки у Августа нет лица. И вот такой мальчик должен пойти в школу. В первый раз. К обычным детям...."
